"year_of_first_job","industry","school_graduated","sex","monthly_salary_unadjusted","cumulative_inflation","monthly_salary_adjusted","offer_negotiated","other_details"
2009,"Business Process Outsourcing","De La Salle University - Manila","Female",13000,1.477,19201,"No",""
2016,"Marketing","N/A (Undergrad)","Female",20000,1.183,23660,"No","I was still a student when I started working "
2012,"Business Process Outsourcing",NA,"Female",14000,1.3014,18219.6,"No","I was shocked when I first received my salary. It's around 9k (basic plus incentives) and I just worked for literally 8 days excluding rest days. Guess I was just lucky to choose the path I didn't know I would grow despite the fact that my course has nothing to do with BPO"
2018,"Government","UP System University","Female",20000,1.136,22720,"No","+ additional duties"
2016,"Government","Polytechnic University of the Philippines - Manila","Male",30000,1.183,35490,"No",""
2017,"Marketing","Other universities","Female",14000,1.168,16352,"Yes","Initially asked for 18,000 but they said it was too high for a fresh graduate. "
2019,"Healthcare","N/A (Unspecified)","Female",29900,1.08,32292,"Yes",""
2018,"Finance","Other universities","Female",18000,1.136,20448,"No",""
2018,"Academe & Education","Other universities","Male",25000,1.136,28400,"No",""
2016,"Government","Other universities","Female",18600,1.183,22003.8,"No",""
2016,"Media and Communication","Other universities","Female",12000,1.183,14196,"Yes",""
2019,"Consulting","Other universities","Female",13000,1.08,14040,"No",""
2011,"Media and Communication","De La Salle University - Manila","Male",16000,1.365,21840,"No","The rate for researchers nine years ago remains the same until now. Sad."
2013,"Architecture","University of the Philippines - Diliman","Male",10000,1.265,12650,"No","I was fresh out of college and was basically an apprentice that needed to log hours before taking the board exams. Had no idea also if it was a decent enough salary or not, because I knew people who earned less than that."
2016,"Telecomumunications","Saint Louis University","Male",15000,1.183,17745,"No",""
2018,"Academe & Education","Polytechnic University of the Philippines - Manila","Male",23000,1.136,26128,"No",""
2009,"Business Process Outsourcing","Other universities","Male",12000,1.477,17724,"No",""
2013,"Manufacturing","UP System University","Male",47000,1.265,59455,"No","My company pays 15.5months per year. Sorry but I think this is a fundamental flaw in your survey :( Salaries are best compared on an annual basis"
2017,"Non-Government Organization","University of the Philippines - Los Baños","Female",18000,1.168,21024,"No",""
2018,"Retail","Other universities","Female",20000,1.136,22720,"Yes","I applied with 3 other college batch mates (they were hiring several designers). During my personal interview with HR, I said my lowest was 20k, same as 2 of my batch mates. After all our interviews, one friend told us that she said 18k was her lowest. In the next interview, HR offered me 19k. They let me leave the room first to think while they presented a job offer to my other batch mates. We all asked each other what offer we got. We were all offered 19k. We then individually told HR that we wouldn’t go lower than 20k. They agreed and raised our pay."
2017,"Accounting","Other universities","Female",15000,1.168,17520,"No",""
2016,"Media and Communication","Ateneo de Manila University","Female",18000,1.183,21294,"No",""
2015,"Research","Polytechnic University of the Philippines - Manila","Female",12000,1.191,14292,"No","I was a fresh graduate and I just really needed a job, and I wanted the post so, I accepted it despite the minimum wage and didn't negotiate. "
2019,"Technology","Other universities","Female",18000,1.08,19440,"Yes","Initially asked for 18-22, boss said anything above 20 was already way too much so we settled for 18."
2019,"Other industries","Other universities","Female",28000,1.08,30240,"No",""
2013,"Government","Other universities","Female",12000,1.265,15180,"No","Its a contract of service job"
2019,"Technology","Other universities","Male",25000,1.08,27000,"Yes","They gave me a higher salary than what i asked for"
2016,"Accounting","Other universities","Female",16000,1.183,18928,"No",""
2018,"Technology","Other universities","Female",20000,1.136,22720,"No",""
2016,"Non-Government Organization","Other universities","Male",12500,1.183,14787.5,"No",""
2018,"Technology","De La Salle University - Manila","Female",38000,1.136,43168,"Yes",""
2017,"Research","University of the Philippines - Los Baños","Female",14000,1.168,16352,"Yes",""
2011,"Media and Communication","Ateneo de Manila University","Female",13000,1.365,17745,"No",""
2018,"Business Process Outsourcing","Other universities","Female",18000,1.136,20448,"No",""
2015,"Business Process Outsourcing","University of Santos Tomas","Female",14400,1.191,17150.4,"No","Offer was non negotiable. My salary was different from colleagues of the same position because they were under a different entity when they were hired."
2019,"Research","University of the Philippines - Los Baños","Not specified/Unclear",24000,1.08,25920,"No","Project-based. Laging delayed. "
2008,"Arts and Design","Ateneo de Manila University","Female",13000,1.599,20787,"No",""
2017,"Media and Communication","Other universities","Male",18000,1.168,21024,"No","My company was AU based so hours are different than normal companies."
2019,"Technology","De La Salle University - Manila","Male",18000,1.08,19440,"No","I planned to negotiate after the contract expired."
2019,"Research","Ateneo de Manila University","Female",24000,1.08,25920,"Yes","I tried to negotiate my job offer but I was told that it was the best offer they can give me. "
2018,"Oil and Gas","University of the Philippines - Diliman","Female",26000,1.136,29536,"No","monthly salary not including OT pay which is 900/day"
2020,"Business Process Outsourcing","Ateneo de Manila University","Female",18000,1.053,18954,"No","Initially asked for 20000 but 18000 was the highest they could pay for the role."
2014,"Arts and Design","Other universities","Female",15000,1.234,18510,"No",""
2018,"Construction and Engineering","Other universities","Female",15000,1.136,17040,"No",""
2020,"Healthcare","Other universities","Female",13000,1.053,13689,"No",""
2018,"Media and Communication","Other universities","Female",16600,1.136,18857.6,"Yes","I tried to negotiate up but they insisted that that's their rate for fresh grads"
2017,"Academe & Education","University of the Philippines - Los Baños","Female",24000,1.168,28032,"No","It was a part time role at 250 pesos per hour for 24 hours a week"
2017,"Other industries","Polytechnic University of the Philippines - Manila","Male",13000,1.168,15184,"No",""
2018,"Other industries","Ateneo de Manila University","Female",15000,1.136,17040,"No",""
2013,"Finance","Ateneo de Manila University","Male",25000,1.265,31625,"No",""
2011,"Business Process Outsourcing","Other universities","Male",18000,1.365,24570,"No",""
2015,"Advertising","De La Salle University - Manila","Male",20000,1.191,23820,"No","It's my first job and 20k that time was enough for me. The other companies were offering me 13k only though. "
2016,"Manufacturing","UP System University","Male",22000,1.183,26026,"No",""
2012,"Finance","Ateneo System University","Male",27000,1.3014,35137.8,"No",""
2018,"Retail","Other universities","Female",15000,1.136,17040,"No",""
2016,"Government","Polytechnic University of the Philippines - Manila","Male",18981,1.183,22454.523,"No","This is the typical salary (Salary Grade 11) for fresh graduates working in the government."
2017,"Advertising","Ateneo de Manila University","Female",30000,1.168,35040,"No","They asked for my desired salary and met my asking price"
2013,"Arts and Design","Ateneo System University","Male",8000,1.265,10120,"No","The first month was actually 6k. I forgot what their reason was for that but the succeeding 6 months was 8k. "
2020,"Technology","Other universities","Male",26000,1.053,27378,"No",""
2009,"Academe & Education","De La Salle University - Manila","Female",10000,1.477,14770,"No","it was my first job and i didn't know any better"
2019,"Healthcare","University of Santos Tomas","Female",18000,1.08,19440,"No",""
2019,"Business","N/A (Unspecified)","Not specified/Unclear",14500,1.08,15660,"No",""
2017,"Manufacturing","De La Salle University - Manila","Male",22000,1.168,25696,"No",""
2019,"Business Process Outsourcing","N/A (Undergrad)","Male",28000,1.08,30240,"No","Started my job as an undergraduate. I'm graduating this 2020 while working. "
2013,"Business Process Outsourcing","Other universities","Female",14000,1.265,17710,"No","I just turned 18 when I started working. They took advantage of the lack of experience. Worked 3 years for this company and never had increase despite the tenure and the additional tasks given after rank promotion. Never given incentives. No major worldwide holidays off. "
2018,"Technology","University of San Carlos","Male",23000,1.136,26128,"Yes","For my role, it's quite big in the area but my company offers top pay. I also did not want to go below 20 since the undergraduate program I have is in engineering."
